Title,RuntimePopularity,likability,IMDB_Rating,Actors,Director,Writer,Keywords,Genre,short_description,long_description,Awards
Deadpool & Wolverine,128 min,20768.119,7.9,8.1,"Ryan Reynolds, Hugh Jackman, Emma Corrin",Shawn Levy,"Ryan Reynolds, Rhett Reese, Paul Wernick","['hero', 'superhero', 'anti hero', 'mutant', 'breaking the fourth wall', 'marvel cinematic universe (mcu)', 'mutants', 'superhero teamup']","['Adventure', 'Science Fiction', 'Action', 'Comedy']","A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",4 wins & 1 nomination
Bad Boys: Ride or Die,115 min,5049.176,7.66,7.0,"Will Smith, Martin Lawrence, Vanessa Hudgens","Adil El Arbi, Bilall Fallah","Chris Bremner, Will Beall, George Gallo","['miami, florida', 'sequel', 'on the run', 'police detective', 'buddy cop', 'buddy comedy', 'aftercreditsstinger']","['Crime', 'Thriller', 'Comedy', 'Adventure', 'Action']","After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.","This Summer, the world's favorite Bad Boys are back with their iconic mix of edge-of-your seat action and outrageous comedy but this time with a twist: Miami's finest are now on the run.",1 nomination
A Quiet Place: Day One,100 min,4907.314,7.022,6.8,"Joseph Quinn, Lupita Nyong'o, Alex Wolff",Michael Sarnoski,"Michael Sarnoski, John Krasinski, Bryan Woods","['monster', 'escape', 'cat', 'alien', 'prequel', 'survival', 'survivalist', 'fear', 'spin off', 'noise', 'silence', 'quiet']","['Horror', 'Thriller', 'Science Fiction', 'Drama', 'Sci-Fi']","As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",A woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,N/A
Inside Out 2,96 min,4304.725,7.63,7.8,"Amy Poehler, Maya Hawke, Kensington Tallman",Kelsey Mann,"Meg LeFauve, Dave Holstein, Kelsey Mann","['sadness', 'disgust', 'sequel', 'computer animation', 'teenage girl', 'fear', 'anger', 'envy', 'aftercreditsstinger', 'duringcreditsstinger', 'emotions', 'embarrasment', 'joy', 'anxiety']","['Family', 'Adventure', 'Animation', 'Comedy']","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.","A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",2 nominations
Despicable Me 4,95 min,3796.54,7.2,6.4,"Steve Carell, Kristen Wiig, Pierre Coffin","Chris Renaud, Patrick Delage","Mike White, Ken Daurio","['superhero', 'villain', 'sequel', 'super villain', 'illumination', 'kids']","['Family', 'Animation', 'Comedy', 'Adventure', 'Action']","Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.","Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",N/A
The Ministry of Ungentlemanly Warfare,120 min,1846.993,7.17,6.9,"Henry Cavill, Alan Ritchson, Alex Pettyfer",Guy Ritchie,"Paul Tamasy, Eric Johnson, Arash Amel","['army', 'operation', 'based on novel or book', 'spy', 'world war ii', 'based on true story', 'soldier', 'special forces', 'military', 'black ops', 'dangerous mission', '1940s', 'winston churchill', 'action comedy', 'historical comedy', 'comedy thriller']","['Drama', 'Action', 'Comedy', 'War']","During World War II, the British Army assigns a group of competent soldiers to carry out a mission against the Nazi forces behind enemy lines... A true story about a secret British WWII organization – the Special Operations Executive. Founded by Winston Churchill, their irregular warfare against the Germans helped to change the course of the war, and gave birth to modern black operations.",The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,N/A
The Garfield Movie,101 min,1752.544,7.231,5.8,"Chris Pratt, Samuel L. Jackson, Hannah Waddingham",Mark Dindal,"Paul A. Kaplan, Mark Torgove, David Reynolds","['friendship', 'cat', 'villain', 'based on comic', 'lasagne', 'computer animation', 'based on cartoon', 'food', 'dog', 'female villain', 'aftercreditsstinger', 'detached', 'father son relationship', 'adaptation', 'bitter', 'antagonistic', 'apathetic', 'conceited', 'disrespectful']","['Family', 'Adventure', 'Animation', 'Comedy']","Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.","After Garfield's unexpected reunion with his long-lost father, ragged alley cat Vic, he and his canine friend Odie are forced from their perfectly pampered lives to join Vic on a risky heist.",1 nomination
Kingdom of the Planet of the Apes,145 min,1493.636,7.175,7.1,"Owen Teague, Freya Allan, Kevin Durand",Wes Ball,"Josh Friedman, Rick Jaffa, Amanda Silver","['empire', 'kingdom', 'gorilla', 'dystopia', 'eagle', 'sequel', 'anthropomorphism', 'distant future', 'ape', 'orangutan', 'evolution', 'chimpanzee', 'primate', 'sign languages', 'journey', 'cgi-live action hybrid', 'post-apocalyptic', 'evil tyrant', 'indifferent']","['Adventure', 'Drama', 'Action', 'Science Fiction']","Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.","Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",2 nominations
Furiosa: A Mad Max Saga,148 min,1159.183,7.6,7.7,"Anya Taylor-Joy, Chris Hemsworth, Tom Burke",George Miller,"George Miller, Nick Lathouris","['post-apocalyptic future', 'prequel', 'spin off', 'tyranny', 'masculinity', 'mother daughter relationship', 'vindictive', 'child abduction', 'amused']","['Adventure', 'Sci-Fi', 'Action', 'Science Fiction']","As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.",The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,2 nominations
Deadpool,108 min,921.05,7.619,8.0,"Ryan Reynolds, Morena Baccarin, T.J. Miller",Tim Miller,"Rhett Reese, Paul Wernick","['superhero', 'anti hero', 'mercenary', 'based on comic', 'aftercreditsstinger', 'duringcreditsstinger']","['Adventure', 'Action', 'Comedy']","The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",29 wins & 78 nominations
Civil War,109 min,658.839,6.971,7.1,"Kirsten Dunst, Wagner Moura, Cailee Spaeny",Alex Garland,Alex Garland,"['sniper', 'new york city', 'race against time', 'washington dc, usa', 'the white house', 'civil war', 'post-traumatic stress disorder (ptsd)', 'photographer', 'dystopia', 'war photographer', 'road trip', 'president', 'female protagonist', 'soldier', 'fictional war', 'photojournalism', 'xenophobia', 'assassination of president', 'suicide bombing', 'usa politics', 'war trauma', 'mass grave', 'war journalism', 'charlottesville', 'near future', 'violence', 'awestruck', 'defiant', 'euphoric']","['Thriller', 'Adventure', 'Action', 'Drama', 'War']","In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.","A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",9 nominations
Rebel Moon - Part Two: The Scargiver,122 min,502.256,6.131,5.2,"Sofia Boutella, Djimon Hounsou, Ed Skrein",Zack Snyder,"Zack Snyder, Kurt Johnstad, Shay Hatten","['space war', 'space', 'female protagonist', 'space opera', 'space adventure', 'action hero', 'alien spaceship', 'super hero girls', 'space vessel', 'odyssey', 'pretentious']","['Adventure', 'Drama', 'Action', 'Science Fiction']","The rebels gear up for battle against the ruthless forces of the Motherworld as unbreakable bonds are forged, heroes emerge — and legends are made.","Kora and surviving warriors prepare to defend Veldt, their new home, alongside its people against the Realm. The warriors face their pasts, revealing their motivations before the Realm's forces arrive to crush the growing rebellion.",1 win
Twisters,122 min,480.751,7.1,7.1,"Daisy Edgar-Jones, Glen Powell, Anthony Ramos",Lee Isaac Chung,"Mark L. Smith, Joseph Kosinski, Michael Crichton","['tornado', 'twister', 'natural disaster', 'oklahoma', 'storm chaser', 'disaster', 'storm', 'disaster movie', 'social media influencer', 'exhilarated', 'exuberant']","['Adventure', 'Thriller', 'Action', 'Drama']","As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",A retired tornado-chaser and meteorologist is persuaded to return to Oklahoma to work with a new team and new technologies.,1 nomination
MaXXXine,103 min,466.206,6.5,N/A,"Charley Rowan McCain, Simon Prast, Mia Goth",Ti West,Ti West,"['pornography', 'gore', 'sequel', 'murder', 'fame', 'slasher', 'hollywood', 'whodunit', 'los angeles, california', 'video store', 'horror filmmaking', 'stardom', 'murder mystery', '1980s', 'somber', 'film production', 'televangelist', 'film within a film', 'aspiring actress', 'giallo', 'pastiche', 'satanic panic', 'night stalker', 'father daughter estrangement', 'religious trauma', 'mystery', 'disdainful']","['Horror', 'Crime', 'Mystery']","In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.","In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",3 nominations
The Fall Guy,126 min,436.699,7.202,7.3,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson",David Leitch,"Glen A. Larson, Drew Pearce","['stuntman', 'missing person', 'duringcreditsstinger', 'movie industry', 'action comedy', 'based on tv series', 'factual', 'amused', 'joyful']","['Drama', 'Action', 'Comedy']","Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.,4 nominations
Rebel Moon - Part One: A Child of Fire,133 min,411.452,6.331,5.6,"Sofia Boutella, Djimon Hounsou, Ed Skrein",Zack Snyder,"Zack Snyder, Kurt Johnstad, Shay Hatten","['space war', 'space', 'female protagonist', 'space opera', 'space adventure', 'action hero', 'alien spaceship', 'super hero girls', 'space vessel']","['Adventure', 'Drama', 'Action', 'Science Fiction']","When the ruthless forces of the Motherworld threaten a quiet farming village on a distant moon, a mysterious outsider becomes its best hope for survival.","When a peaceful settlement on the edge of a distant moon finds itself threatened by a tyrannical ruling force, a stranger living among its villagers becomes their best hope for survival.",2 wins & 3 nominations
Saving Bikini Bottom: The Sandy Cheeks Movie,82 min,390.649,6.089,4.1,"Carolyn Lawrence, Tom Kenny, Clancy Brown",Liza Johnson,"Kaz, Tom Stern, Stephen Hillenburg","['squirrel', 'texas', 'road trip', 'save the day', 'based on tv series']","['Family', 'Adventure', 'Animation', 'Comedy']","When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.","When Bikini Bottom is suddenly scooped out of the ocean, Sandy Cheeks and SpongeBob journey to Sandy's home state of Texas, where they meet Sandy's family and must save Bikini Bottom from the hands of an evil CEO",N/A
Dune: Part Two,166 min,318.923,8.165,8.6,"Timothée Chalamet, Zendaya, Rebecca Ferguson",Denis Villeneuve,"Denis Villeneuve, Jon Spaihts, Frank Herbert","['epic', 'based on novel or book', 'fight', 'politics', 'sandstorm', 'sand', 'spice', 'chosen one', 'cult', 'sequel', 'romance', 'tragedy', 'distant future', 'tragic hero', 'creature', 'planet', 'desert', 'destiny', 'giant worm', 'space opera', 'sand dune', 'allegorical', 'messiah', 'fall from grace', 'detached', 'vengeance', 'vindictive', 'religious allegory', 'giant creature', 'power', 'violence']","['Adventure', 'Drama', 'Action', 'Science Fiction']","Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,6 wins & 9 nominations
Trap,N/A,255.744,6.3,6.9,"Talat Bulut, Akin Akinözü, Bensu Soral",N/A,N/A,"['concert', 'philadelphia, pennsylvania', 'double life', 's.w.a.t.', 'pop star', 'father', 'limousine', 'celebrity', 'serial killer', 'obsessive compulsive disorder (ocd)', 'mental illness', 'sting operation', 'father daughter relationship']","['Crime', 'Mystery', 'Thriller', 'Drama']","A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.","In a world where it is hard to tell who is good and who is bad, what is real and what is fake, these three brothers, united by a common goal, will discover that they are not as connected as they thought.",N/A
Longlegs,101 min,238.566,6.8,7.2,"Maika Monroe, Nicolas Cage, Blair Underwood",Oz Perkins,Oz Perkins,"['homicide', 'fbi', 'religion and supernatural', 'haunting', 'satanism', 'barn', 'oregon, usa', 'murder', 'serial killer', 'religion', 'female protagonist', 'bill clinton', 'unspeakable evil', 'corpse', 'series of murders', 'killing spree', 'catholic', 'death', 'death in family', 'female police officer', 'occult', 'satanic ritual', 'crime spree', 'rookie', 'crime investigation', 'sadistic psychopath', 'scary doll', 'procedural', '1990s', 'dread', 'creepy doll', 'unsolved crime', 'psychological terror', 'police pursuit', 'haunted doll', 'homicide investigation', 'supernatural horror', 'female investigator', 'police procedural', 'children in danger', 'psychic vision', 'independent film', 'criminal plot', 'horrific crime', 'magical realism']","['Horror', 'Crime', 'Thriller']","In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.","In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",N/A
